"F_ID","Year","Nest_box","Survival","Num_recruited","April_hatch","Synchrony","Clutch_size","Age","Immigrant","beech","pop_size","Spring_temp","winter_temp","winter_precip_t","spring_precip_t","Round","Half_fall","R_pop_size","Spring_temp_max"
"BA02005",1962,"B145",1,0,1.19903315784619,-0.983845172747261,0.756628490516024,2,0,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"B",2.06101755469318,-1.36451226270039,-1.46664906875204
"BA02005",1963,"B220",1,0,0.274920750174992,-1.14670288688933,0.756628490516024,2,0,0,-1.17676044469696,-0.310904777346599,-0.978603549459412,-2.01106931996494,-0.334401972618346,"B",1.24334883137024,-0.983962491588143,-0.578621578832459
"BA02129",1961,"B49",1,0,-0.781207715734943,0.644731968673382,0.147778005062837,1,1,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"B",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA02127",1961,"B56",1,0,-1.04523983221243,0.319016540389253,-1.06992296584354,1,1,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"B",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA02127",1962,"B54",1,2,0.538952866652476,-1.79813374345758,0.147778005062837,2,1,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"B",2.06101755469318,-1.36451226270039,-1.46664906875204
"BA02127",1963,"B55",1,0,-0.121127424541233,-1.63527602931552,0.147778005062837,2,1,0,-1.17676044469696,-0.310904777346599,-0.978603549459412,-2.01106931996494,-0.334401972618346,"B",1.24334883137024,-0.983962491588143,-0.578621578832459
"BA02127",1964,"B56",1,0,-0.121127424541233,-0.0066988878948758,0.147778005062837,2,1,0,-0.858282684490422,-0.906159531350156,-1.0308492398207,-1.06080022111136,-0.0646671100267802,"B",-0.119432374167988,-0.446715755900271,-1.43926972220685
"608729",1961,"B7",1,0,-0.121127424541233,1.4590205393837,0.756628490516024,1,1,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"B",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA01412",1961,"B95",1,0,-0.913223773973685,0.481874254531317,-0.461072480390351,1,0,0,-1.16451130007363,1.53191758167143,-0.744312432403026,0.727617251199135,-0.0646671100267802,"B",-1.3459354591524,-1.07350361420279,1.24174471186272
"BA01412",1962,"B96",1,0,1.33104921608493,-0.820987458605197,-0.461072480390351,2,0,2,-1.44624162641019,-2.16606402394998,-4.01795404594581,-1.36959172712181,-0.462457917485049,"B",2.06101755469318,-1.36451226270039,-1.46664906875204
