"F_ID","April_hatch_t1","Spring_temp_t1","Spring_precip_t1","Round_t1","age_t1","pop_size_t1","R_pop_size_t1","Spring_temp_max_t1"
"BA01653",0.80298498312996,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA01653",0.80298498312996,-0.310904777346599,-0.334401972618346,"B",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA01653",0.538952866652476,-0.906159531350156,-0.0646671100267802,"B",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"BA02005",1.19903315784619,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA02005",0.274920750174992,-0.310904777346599,-0.334401972618346,"B",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA02005",0.935001041368702,-0.906159531350156,-0.0646671100267802,"B",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"BA02129",0.80298498312996,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA02127",0.538952866652476,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA02127",-0.121127424541233,-0.310904777346599,-0.334401972618346,"B",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA02127",-0.121127424541233,-0.906159531350156,-0.0646671100267802,"B",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"BA02127",-0.517175599257459,-0.785874891900399,0.188720185134994,"B",2,-0.968524986100378,-0.692953843090545,-0.212242691510669
"608729",0.935001041368702,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA01412",1.33104921608493,-2.16606402394998,-0.462457917485049,"B",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA01412",0.406936808413734,-0.310904777346599,-0.334401972618346,"B",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA01412",0.80298498312996,-0.906159531350156,-0.0646671100267802,"B",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"BA01877",0.274920750174992,-2.16606402394998,-0.462457917485049,"C",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA01053",0.274920750174992,-2.16606402394998,-0.462457917485049,"C",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA02139",0.274920750174992,-2.16606402394998,-0.462457917485049,"C",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA02139",-0.649191657496201,-0.310904777346599,-0.334401972618346,"C",2,-1.17676044469696,-0.983962491588143,-0.578621578832459
"BA02139",0.14290469193625,-0.906159531350156,-0.0646671100267802,"C",2,-0.858282684490422,-0.446715755900271,-1.43926972220685
"BA02139",-0.517175599257459,-0.785874891900399,0.188720185134994,"C",2,-0.968524986100378,-0.692953843090545,-0.212242691510669
"608620",0.80298498312996,-2.16606402394998,-0.462457917485049,"C",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA01648",0.406936808413734,-2.16606402394998,-0.462457917485049,"C",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA02055",0.406936808413734,-2.16606402394998,-0.462457917485049,"CP",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
"BA01641",0.14290469193625,-2.16606402394998,-0.462457917485049,"EX",2,-1.44624162641019,-1.36451226270039,-1.46664906875204
