"F_ID","Year","Nest_box","Survival","Num_recruited","April_hatch","Synchrony","Clutch_size","Age","Immigrant","beech","pop_size","Spring_temp","winter_temp","winter_precip_t","spring_precip_t","Round","Half_fall","R_pop_size","MOTHER","animal","ID"
"VN57110",1995,"C128",0,0,-0.517175599257459,0.221301911904014,1.36547897596921,2,0,2,-0.0498391393507414,0.537256325989891,-1.01464144259652,0.768054234129074,-0.906566832661061,"C",-0.71905610460481,0.560621873514489,"H301127","VN57110","VN57110"
"VJ59147",1994,"C28",0,0,-0.121127424541233,-0.430128944664243,-1.06992296584354,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"C",0.234890739271952,1.14263917050968,"VH99074","VJ59147","VJ59147"
"F873547",1994,"C4",0,0,0.538952866652476,0.384159626046079,0.147778005062837,1,1,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"C",0.234890739271952,1.14263917050968,NA,"F873547","F873547"
"VJ59947",1994,"C45",0,0,0.406936808413734,0.221301911904014,-2.28762393674991,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"C",0.234890739271952,1.14263917050968,"VH84881","VJ59947","VJ59947"
"VH99181",1994,"C51",1,0,-0.253143482779975,-0.592986658806307,-1.06992296584354,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"C",0.234890739271952,1.14263917050968,"VH83940","VH99181","VH99181"
"VH99181",1995,"C150",0,0,-0.913223773973685,-0.267271230522179,-0.461072480390351,2,0,2,-0.0498391393507414,0.537256325989891,-1.01464144259652,0.768054234129074,-0.906566832661061,"C",-0.71905610460481,0.560621873514489,"VH83940","VH99181","VH99181"
"VN57516",1994,"C56",0,0,-0.649191657496201,-1.0815598012325,0.147778005062837,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"C",0.234890739271952,1.14263917050968,"NN30801","VN57516","VN57516"
"VH82956",1994,"C61A",0,0,-0.253143482779975,-0.592986658806307,-1.06992296584354,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"C",0.234890739271952,1.14263917050968,"F_2198006","VH82956","VH82956"
"VJ58823",1994,"CP14",1,0,0.274920750174992,0.05844419776195,1.36547897596921,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"CP",0.234890739271952,1.14263917050968,"H300546","VJ58823","VJ58823"
"VJ58823",1995,"CP14",0,1,-0.913223773973685,-0.267271230522179,1.36547897596921,2,0,2,-0.0498391393507414,0.537256325989891,-1.01464144259652,0.768054234129074,-0.906566832661061,"CP",-0.71905610460481,0.560621873514489,"H300546","VJ58823","VJ58823"
"H301348",1994,"CP14A",1,0,0.406936808413734,0.221301911904014,-0.461072480390351,1,1,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"CP",0.234890739271952,1.14263917050968,NA,"H301348","H301348"
"H301348",1997,"W7",0,2,-1.44128800692865,-0.430128944664243,0.147778005062837,2,1,1,0.599365525685669,1.36845410337567,1.20595959959553,-0.658268436490605,-0.639556564641127,"CP",-1.12789046626628,1.16502445116335,NA,"H301348","H301348"
"VB55787",1994,"CP28",0,0,0.406936808413734,0.221301911904014,1.36547897596921,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"CP",0.234890739271952,1.14263917050968,"VH82539","VB55787","VB55787"
"VH99749",1994,"CP29",0,0,0.80298498312996,0.709875054330207,-0.461072480390351,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"CP",0.234890739271952,1.14263917050968,"VH82011","VH99749","VH99749"
"VH99392",1994,"CP30",0,0,1.06701709960744,1.03559048261434,-1.67877345129673,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"CP",0.234890739271952,1.14263917050968,"VH83468","VH99392","VH99392"
"H301347",1994,"CP38",1,0,0.274920750174992,0.05844419776195,-0.461072480390351,1,1,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"CP",0.234890739271952,1.14263917050968,NA,"H301347","H301347"
"H301347",1995,"EX55",1,0,-1.57330406516739,-1.0815598012325,0.147778005062837,2,1,2,-0.0498391393507414,0.537256325989891,-1.01464144259652,0.768054234129074,-0.906566832661061,"CP",-0.71905610460481,0.560621873514489,NA,"H301347","H301347"
"H301347",1996,"EX55",0,0,-0.649191657496201,-2.71013694265314,0.147778005062837,2,1,0,0.91784328589221,-1.3950087507795,-0.47516633956315,-0.98176429993012,-0.579615484065224,"CP",1.59767194481018,1.97089455469515,NA,"H301347","H301347"
"VB55751",1994,"CP5",0,0,0.80298498312996,0.709875054330207,-0.461072480390351,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"CP",0.234890739271952,1.14263917050968,"VH82275","VB55751","VB55751"
"H301378",1994,"CP5A",0,0,0.935001041368702,0.872732768472272,1.9743294614224,1,1,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"CP",0.234890739271952,1.14263917050968,NA,"H301378","H301378"
"VJ58989",1994,"CP5B",0,0,0.274920750174992,0.05844419776195,-0.461072480390351,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"CP",0.234890739271952,1.14263917050968,"F_2199526","VJ58989","VJ58989"
"VN56607",1994,"CP6",0,0,0.14290469193625,-0.104413516380114,-1.06992296584354,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"CP",0.234890739271952,1.14263917050968,"H301515","VN56607","VN56607"
"VJ59926",1994,"CP7",0,0,0.14290469193625,-0.104413516380114,-0.461072480390351,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"CP",0.234890739271952,1.14263917050968,"H303455","VJ59926","VJ59926"
"H301201",1994,"EX12A",0,1,0.274920750174992,0.05844419776195,-0.461072480390351,1,1,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,NA,"H301201","H301201"
"VJ59131",1994,"EX14B",0,1,0.274920750174992,0.05844419776195,-0.461072480390351,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"VH99330","VJ59131","VJ59131"
"VJ58696",1994,"EX18A",1,1,0.670968924891218,0.547017340188143,0.756628490516024,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"F_2198986","VJ58696","VJ58696"
"VJ58696",1995,"EX18A",0,0,-1.04523983221243,-0.430128944664243,1.36547897596921,2,0,2,-0.0498391393507414,0.537256325989891,-1.01464144259652,0.768054234129074,-0.906566832661061,"EX",-0.71905610460481,0.560621873514489,"F_2198986","VJ58696","VJ58696"
"VJ58739",1994,"EX21",0,0,0.406936808413734,0.221301911904014,-0.461072480390351,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"VH82024","VJ58739","VJ58739"
"VH99723",1994,"EX29A",0,2,0.274920750174992,0.05844419776195,0.147778005062837,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"VH84051","VH99723","VH99723"
"VJ59888",1994,"EX34",1,0,0.80298498312996,0.709875054330207,0.756628490516024,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"VJ57859","VJ59888","VJ59888"
"VJ59888",1995,"O118",0,3,0.14290469193625,1.03559048261434,0.147778005062837,2,0,2,-0.0498391393507414,0.537256325989891,-1.01464144259652,0.768054234129074,-0.906566832661061,"EX",-0.71905610460481,0.560621873514489,"VJ57859","VJ59888","VJ59888"
"H301364",1994,"EX37",1,0,0.406936808413734,0.221301911904014,0.147778005062837,1,1,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,NA,"H301364","H301364"
"H301364",1995,"EX38A",1,1,-1.30927194868991,-0.755844372948372,0.147778005062837,2,1,2,-0.0498391393507414,0.537256325989891,-1.01464144259652,0.768054234129074,-0.906566832661061,"EX",-0.71905610460481,0.560621873514489,NA,"H301364","H301364"
"H301364",1996,"EX8A",1,1,-0.121127424541233,-2.05870608608489,0.147778005062837,2,1,0,0.91784328589221,-1.3950087507795,-0.47516633956315,-0.98176429993012,-0.579615484065224,"EX",1.59767194481018,1.97089455469515,NA,"H301364","H301364"
"H301364",1997,"EX14A",1,2,-1.83733618164488,-0.918702087090436,0.147778005062837,2,1,1,0.599365525685669,1.36845410337567,1.20595959959553,-0.658268436490605,-0.639556564641127,"EX",-1.12789046626628,1.16502445116335,NA,"H301364","H301364"
"H301364",1998,"EX10A",0,2,-0.385159541018717,0.05844419776195,0.147778005062837,2,1,1,0.0726523068825435,0.549592548971766,0.916110145535009,0.630200883231554,0.608307749166318,"EX",-0.446499863497164,0.762089399397441,NA,"H301364","H301364"
"H301363",1994,"EX38",0,0,0.538952866652476,0.384159626046079,1.36547897596921,1,1,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,NA,"H301363","H301363"
"H301336",1994,"EX39A",0,0,-0.517175599257459,-0.918702087090436,-1.67877345129673,1,1,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,NA,"H301336","H301336"
"VJ58913",1994,"EX4",0,0,0.538952866652476,0.384159626046079,-0.461072480390351,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"VH12395","VJ58913","VJ58913"
"VJ58744",1994,"EX43B",0,0,0.274920750174992,0.05844419776195,0.756628490516024,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"VH84760","VJ58744","VJ58744"
"VJ58655",1994,"EX43C",0,0,0.80298498312996,0.709875054330207,1.9743294614224,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"F937893","VJ58655","VJ58655"
"VJ58902",1994,"EX44",1,1,0.406936808413734,0.221301911904014,0.756628490516024,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"H300561","VJ58902","VJ58902"
"VJ58902",1995,"EX39B",0,0,-1.57330406516739,-1.0815598012325,1.9743294614224,2,0,2,-0.0498391393507414,0.537256325989891,-1.01464144259652,0.768054234129074,-0.906566832661061,"EX",-0.71905610460481,0.560621873514489,"H300561","VJ58902","VJ58902"
"VJ59235",1994,"EX47A",1,0,0.538952866652476,0.384159626046079,-0.461072480390351,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"VH83233","VJ59235","VJ59235"
"VJ59235",1995,"EX49C",1,0,-1.57330406516739,-1.0815598012325,0.147778005062837,2,0,2,-0.0498391393507414,0.537256325989891,-1.01464144259652,0.768054234129074,-0.906566832661061,"EX",-0.71905610460481,0.560621873514489,"VH83233","VJ59235","VJ59235"
"VJ59235",1996,"EX49C",0,0,1.06701709960744,-0.592986658806307,-1.67877345129673,2,0,0,0.91784328589221,-1.3950087507795,-0.47516633956315,-0.98176429993012,-0.579615484065224,"EX",1.59767194481018,1.97089455469515,"VH83233","VJ59235","VJ59235"
"VN57537",1994,"EX49C",1,0,1.06701709960744,1.03559048261434,-1.67877345129673,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"H300544","VN57537","VN57537"
"VN57537",1995,"EX43D",1,3,-1.17725589045117,-0.592986658806307,1.36547897596921,2,0,2,-0.0498391393507414,0.537256325989891,-1.01464144259652,0.768054234129074,-0.906566832661061,"EX",-0.71905610460481,0.560621873514489,"H300544","VN57537","VN57537"
"VN57537",1996,"EX43D",1,0,0.274920750174992,-1.57013294365869,-0.461072480390351,2,0,0,0.91784328589221,-1.3950087507795,-0.47516633956315,-0.98176429993012,-0.579615484065224,"EX",1.59767194481018,1.97089455469515,"H300544","VN57537","VN57537"
"VN57537",1997,"EX48",0,1,-0.385159541018717,0.872732768472272,0.756628490516024,2,0,1,0.599365525685669,1.36845410337567,1.20595959959553,-0.658268436490605,-0.639556564641127,"EX",-1.12789046626628,1.16502445116335,"H300544","VN57537","VN57537"
"H301342",1994,"EX51",0,1,-0.253143482779975,-0.592986658806307,0.147778005062837,1,1,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,NA,"H301342","H301342"
"VH99984",1994,"EX51A",1,1,0.538952866652476,0.384159626046079,0.756628490516024,1,0,1,0.562618091815683,0.609735331291321,1.21258481089527,1.72199942233992,0.823550720325244,"EX",0.234890739271952,1.14263917050968,"VH82318","VH99984","VH99984"
"VH99984",1995,"CP22",1,0,-1.44128800692865,-0.918702087090436,0.147778005062837,2,0,2,-0.0498391393507414,0.537256325989891,-1.01464144259652,0.768054234129074,-0.906566832661061,"EX",-0.71905610460481,0.560621873514489,"VH82318","VH99984","VH99984"
