"F_ID","Year","Nest_box","Survival","Num_recruited","April_hatch","Synchrony","Clutch_size","Age","Immigrant","beech","pop_size","Spring_temp","winter_temp","winter_precip_t","spring_precip_t","Round","Half_fall","R_pop_size"
"T640585",2007,"EX29A",0,0,-0.779507424699721,1.5235129964892,0.756628490516024,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"J644994",2007,"EX31",0,0,-1.17555619008707,1.03498074700699,-0.461072480390351,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"J644999",2007,"EX31A",0,1,-1.57160495547443,0.546448497524777,0.147778005062837,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"J644840",2007,"EX33",0,0,-1.04353993495796,1.19782483016772,0.756628490516024,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"K639119",2007,"EX34A",0,0,-1.04353993495796,1.19782483016772,0.756628490516024,"2","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"J644993",2007,"EX36",1,0,-1.17555619008707,1.03498074700699,-0.461072480390351,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"J644993",2008,"EX37",0,0,0.144606361204102,1.19782483016772,-0.461072480390351,"2","1","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"EX",-0.853333758511634,0.804746289080604
"H300660",2007,"EX38",1,0,-1.30757244521619,0.872136663846251,1.36547897596921,"2","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"H300660",2008,"EX38",0,0,0.276622616333219,1.36066891332846,0.756628490516024,"2","1","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"EX",-0.853333758511634,0.804746289080604
"TK27605",2007,"EX38A",0,0,-0.119426149054133,2.33773341229288,-0.461072480390351,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TC59701",2007,"EX4",1,0,-0.911523679828838,1.36066891332846,-1.67877345129673,"1","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TC59701",2008,"EX4",0,0,0.276622616333219,1.36066891332846,-0.461072480390351,"2","0","0",1.46752501136819,0.453184147139636,-0.66938367082025,-0.469636560793478,1.29645094409282,"EX",-0.853333758511634,0.804746289080604
"J644859",2007,"EX41D",0,0,-1.30757244521619,0.872136663846251,0.147778005062837,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"TE79277",2007,"EX41E",0,0,-0.647491169570603,1.68635707964993,1.36547897596921,"2","0","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"T176927",2007,"EX42",0,0,-1.17555619008707,1.03498074700699,-0.461072480390351,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"J644902",2007,"EX43",1,0,-0.911523679828838,1.36066891332846,0.756628490516024,"1","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
"J644902",2009,"EX43",0,1,-1.04353993495796,0.220760331203303,1.36547897596921,"2","1","1",0.437728519501486,1.19652089012369,-1.36678379096956,1.41133548627064,-0.762815877862356,"EX",-1.26226091708124,-0.204182413103157
"N199087",2007,"EX43A",0,1,-1.30757244521619,0.872136663846251,-0.461072480390351,"2","1","1",1.95790429320948,1.8442416081011,1.0442528441533,-0.12294759525617,0.836112196856806,"EX",-2.08011523422045,1.45494478604347
