ID,FATHER,MOTHER
BA47983,NA,NA
BA47984,NA,NA
BA47985,NA,NA
BA47986,NA,NA
BA47987,NA,NA
BA47989,NA,NA
BA47992,NA,NA
BA47994,NA,NA
BA47995,NA,NA
BA47996,NA,NA
BA47997,NA,NA
BA47998,NA,NA
BA47999,NA,NA
BA48000,NA,NA
BA50703,NA,NA
BA50705,NA,NA
BA50708,NA,NA
BA57445,NA,NA
BA64016,NA,NA
BA64024,NA,NA
BA64033,NA,NA
BA64073,NA,NA
BA64653,NA,NA
BA66051,NA,NA
BA66196,NA,NA
BA66197,NA,NA
BA66198,NA,NA
BA66199,NA,NA
BA66200,NA,NA
BA66201,NA,NA
BA66202,NA,NA
BA66203,NA,NA
BA66204,NA,NA
BA66205,NA,NA
BA66206,NA,NA
BA66207,NA,NA
BA66210,NA,NA
BA66211,NA,NA
BA66215,NA,NA
BA66221,NA,NA
BA66222,NA,NA
BA66223,NA,NA
BA66236,NA,NA
BA66237,NA,NA
BA66246,NA,NA
BA66249,NA,NA
BA66250,NA,NA
BA66414,NA,NA
BA66415,NA,NA
BA66416,NA,NA
BA66417,NA,NA
BA66418,NA,NA
BA66431,NA,NA
BA66486,NA,NA
BA66500,NA,NA
BA66508,NA,NA
BA66534,NA,NA
BA66535,NA,NA
BA66536,NA,NA
BA66537,NA,NA
BA66538,NA,NA
BA66544,NA,NA
BA66546,NA,NA
BA66549,NA,NA
BA66550,NA,NA
BA72776,NA,NA
BA72777,NA,NA
BA72778,NA,NA
BA72779,NA,NA
BA72781,NA,NA
BA72782,NA,NA
BA72783,NA,NA
BA72784,NA,NA
BA72785,NA,NA
BA72786,NA,NA
BA72787,NA,NA
BA72788,NA,NA
BA72789,NA,NA
BA72790,NA,NA
BA72791,NA,NA
BA72792,NA,NA
BA72793,NA,NA
BA72794,NA,NA
BA72796,NA,NA
BA72797,NA,NA
BA78554,NA,NA
BC13194,NA,NA
BC13508,NA,NA
BC43128,NA,NA
BC43961,NA,NA
BC43963,NA,NA
BC43965,NA,NA
BC43968,NA,NA
BC43972,NA,NA
BC43974,NA,NA
BC43978,NA,NA
BC43982,NA,NA
BC43983,NA,NA
BC43986,NA,NA
BC43989,NA,NA
BC43998,NA,NA
BC43999,NA,NA
BC44000,NA,NA
BC76402,NA,NA
BC76405,NA,NA
BC84471,NA,NA
BC85027,NA,NA
BC85029,NA,NA
BC85034,NA,NA
BC85035,NA,NA
BC85044,NA,NA
BC85046,NA,NA
BC85048,NA,NA
BC85049,NA,NA
BC85051,NA,NA
BC85053,NA,NA
BC85056,NA,NA
BC85058,NA,NA
BC85059,NA,NA
BC85061,NA,NA
BC85062,NA,NA
BC85063,NA,NA
BC85066,NA,NA
BC85085,NA,NA
BC85086,NA,NA
BC85087,NA,NA
BC85459,NA,NA
BC85460,NA,NA
BC85465,NA,NA
BC85466,NA,NA
BC85471,NA,NA
BC85473,NA,NA
BC85474,NA,NA
BC85475,NA,NA
BC85476,NA,NA
BC85477,NA,NA
BC85478,NA,NA
BC85479,NA,NA
BC85481,NA,NA
BC85482,NA,NA
BC85483,NA,NA
BC85484,NA,NA
BC85485,NA,NA
BC85486,NA,NA
BC85487,NA,NA
BC85489,NA,NA
BC85490,NA,NA
BC85491,NA,NA
BC85492,NA,NA
BC85493,NA,NA
BC85494,NA,NA
BC85495,NA,NA
BC85496,NA,NA
BC85499,NA,NA
BC85591,NA,NA
BC85728,NA,NA
BC85729,NA,NA
BC85748,NA,NA
BC85761,NA,NA
BC85855,NA,NA
BC85882,NA,NA
BC85887,NA,NA
BC85897,NA,NA
BC85899,NA,NA
BC85903,NA,NA
BC85913,NA,NA
BC85914,NA,NA
BC85915,NA,NA
BC85916,NA,NA
BC85921,NA,NA
BC85922,NA,NA
BC85923,NA,NA
BC85925,NA,NA
BC85927,NA,NA
BC85928,NA,NA
BC85929,NA,NA
BC85930,NA,NA
BC85932,NA,NA
BC85933,NA,NA
BC85937,NA,NA
BC85940,NA,NA
BE08974,NA,NA
BE08975,NA,NA
BE08976,NA,NA
BE08977,NA,NA
BE08992,NA,NA
BE08993,NA,NA
BE08995,NA,NA
BE08996,NA,NA
BE08997,NA,NA
BE08999,NA,NA
BE09000,NA,NA
BE50002,NA,NA
BE50003,NA,NA
BE73750,NA,NA
BH01229,NA,NA
BH01395,NA,NA
BH01515,NA,NA
BH17599,NA,NA
BH17623,NA,NA
BH17636,NA,NA
BH17658,NA,NA
BH17711,NA,NA
BH17712,NA,NA
BH17780,NA,NA
BH17785,NA,NA
BH17787,NA,NA
BH17788,NA,NA
BH17794,NA,NA
BH17796,NA,NA
BH17799,NA,NA
BH17801,NA,NA
BH17802,NA,NA
BH17803,NA,NA
BH17804,NA,NA
BH17805,NA,NA
BH17806,NA,NA
BH17807,NA,NA
BH17808,NA,NA
BH17857,NA,NA
BH17861,NA,NA
BH17886,NA,NA
BH17887,NA,NA
BH17892,NA,NA
BH17894,NA,NA
BH17895,NA,NA
BH17935,NA,NA
BH17996,NA,NA
BH18041,NA,NA
BH18290,NA,NA
BH18301,NA,NA
BH18354,NA,NA
BH18398,NA,NA
BH18399,NA,NA
BH18400,NA,NA
BH18480,NA,NA
BH18497,NA,NA
BH18498,NA,NA
BH18499,NA,NA
BH23487,NA,NA
BH62043,NA,NA
BH62184,NA,NA
BH62186,NA,NA
BH62215,NA,NA
BH62250,NA,NA
BH62321,NA,NA
BH62322,NA,NA
BH62325,NA,NA
BH62333,NA,NA
BH62347,NA,NA
BH62376,NA,NA
BH62381,NA,NA
BH62386,NA,NA
BH62392,NA,NA
BH62396,NA,NA
BH62398,NA,NA
BH62423,NA,NA
BH62424,NA,NA
BH62437,NA,NA
BH62450,NA,NA
BH62451,NA,NA
BH62453,NA,NA
BH62455,NA,NA
