F_ID,Year,Nest_box,Survival,Num_recruited,April_hatch,Synchrony,Clutch_size,Age,Immigrant,beech,pop_size,Spring_temp,winter_temp,winter_precip_t,spring_precip_t,Round,Half_fall,R_pop_size,Spring_temp_GT,Spring_temp_cat
NA22961,1981,EX44,1,0,50,-7.97457883495809,10,3,0,0,232,8.088732394,2.404444444,163.2,131.6,EX,57.9745788349581,147,11.5273529411765,11.3026136363636
NA22961,1982,EX44,1,0,51,-10.4913956805066,11,4,0,2,175,7.332394366,4.226666667,131.9,63.3,EX,61.4913956805066,106,11.5829411764706,12.0690909090909
NA22961,1983,EX44,0,0,48,-23.4,11,5,0,1,297,7.164788732,4.230769231,166.7,195.8,EX,71.4,163,10.9495588235294,10.9202272727273
NC09264,1979,EX60,0,0,57,-16.1808729963165,10,1,0,1,127,6.209859155,4.491208791,204.2,163.7,EX,73.1808729963165,74,9.75470588235294,10.4664772727273
NA22982,1979,EX62,1,2,61,-12.1808729963165,11,1,0,1,127,6.209859155,4.491208791,204.2,163.7,EX,73.1808729963165,74,9.75470588235294,10.4664772727273
NA22982,1980,EX64,0,1,51,-14.4970474220139,12,2,0,2,177,6.829577465,4.122222222,93,49.6,EX,65.4970474220139,114,10.8602941176471,11.5865909090909
KR81344,1979,EX62F,0,0,57,-16.1808729963165,11,1,1,1,127,6.209859155,4.491208791,204.2,163.7,EX,73.1808729963165,74,9.75470588235294,10.4664772727273
NC09429,1979,EX64,0,0,57,-16.1808729963165,13,1,0,1,127,6.209859155,4.491208791,204.2,163.7,EX,73.1808729963165,74,9.75470588235294,10.4664772727273
NC09224,1979,EX65A,1,1,52,-21.1808729963165,8,1,0,1,127,6.209859155,4.491208791,204.2,163.7,EX,73.1808729963165,74,9.75470588235294,10.4664772727273
NC09224,1980,EX49A,0,0,45,-20.4970474220139,8,2,0,2,177,6.829577465,4.122222222,93,49.6,EX,65.4970474220139,114,10.8602941176471,11.5865909090909
KR81466,1979,EX71,1,1,60,-13.1808729963165,9,1,1,1,127,6.209859155,4.491208791,204.2,163.7,EX,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81466,1980,EX72A,0,1,54,-11.4970474220139,11,2,1,2,177,6.829577465,4.122222222,93,49.6,EX,65.4970474220139,114,10.8602941176471,11.5865909090909
BJ05781,1979,EX73,0,0,58,-15.1808729963165,8,1,0,1,127,6.209859155,4.491208791,204.2,163.7,EX,73.1808729963165,74,9.75470588235294,10.4664772727273
KR81467,1979,EX75,0,2,55,-18.1808729963165,11,1,1,1,127,6.209859155,4.491208791,204.2,163.7,EX,73.1808729963165,74,9.75470588235294,10.4664772727273
NC09124,1979,EX75A,1,0,66,-7.18087299631647,10,1,0,1,127,6.209859155,4.491208791,204.2,163.7,EX,73.1808729963165,74,9.75470588235294,10.4664772727273
NC09124,1980,EX74,0,0,50,-15.4970474220139,10,2,0,2,177,6.829577465,4.122222222,93,49.6,EX,65.4970474220139,114,10.8602941176471,11.5865909090909
